"Pathway","Bacterium","Value","Map","Pathway_Class"
"Polyketide sugar unit biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",1.39,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"D-Amino acid metabolism","Fibrobacter succinogenes subsp. elongatus HM2",1.12,"map00470","Metabolism; Metabolism of other amino acids"
"Monobactam biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",1.02,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Pentose and glucuronate interconversions","Fibrobacter succinogenes subsp. elongatus HM2",0.97,"map00040","Metabolism; Carbohydrate metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.96,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Chloroalkane and chloroalkene degradation","Fibrobacter succinogenes subsp. elongatus HM2",0.96,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Oxidative phosphorylation","Fibrobacter succinogenes subsp. elongatus HM2",0.83,"map00190","Metabolism; Energy metabolism"
"Carbon fixation in photosynthetic organisms","Fibrobacter succinogenes subsp. elongatus HM2",0.82,"map00710","Metabolism; Energy metabolism"
"Drug metabolism - other enzymes","Fibrobacter succinogenes subsp. elongatus HM2",0.78,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Glutathione metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.69,"map00480","Metabolism; Metabolism of other amino acids"
"Phenazine biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.67,"map00405","Metabolism; Biosynthesis of other secondary metabolites"
"Butanoate metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.65,"map00650","Metabolism; Carbohydrate metabolism"
"C5-Branched dibasic acid metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.59,"map00660","Metabolism; Carbohydrate metabolism"
"Propanoate metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.57,"map00640","Metabolism; Carbohydrate metabolism"
"Biosynthesis of various secondary metabolites - part 3","Fibrobacter succinogenes subsp. elongatus HM2",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Aminoacyl-tRNA biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.49,"map00970","Genetic Information Processing; Translation"
"Carbapenem biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Acarbose and validamycin biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.35,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Tyrosine metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.3,"map00350","Metabolism; Amino acid metabolism"
"Phenylalanine metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.3,"map00360","Metabolism; Amino acid metabolism"
"Novobiocin biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.3,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Valine; leucine and isoleucine degradation","Fibrobacter succinogenes subsp. elongatus HM2",0.16,"map00280","Metabolism; Amino acid metabolism"
"Glucosinolate biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Taurine and hypotaurine metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.09,"map00430","Metabolism; Metabolism of other amino acids"
"Galactose metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.03,"map00052","Metabolism; Carbohydrate metabolism"
"Inositol phosphate metabolism","Fibrobacter succinogenes subsp. elongatus HM2",0.02,"map00562","Metabolism; Carbohydrate metabolism"
"Zeatin biosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Fibrobacter succinogenes subsp. elongatus HM2",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Janthinobacterium lividum EIF1",209.21,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Janthinobacterium lividum EIF1",80.78,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Janthinobacterium lividum EIF1",62.8,"map01120","Microbial metabolism in diverse environments"
"Glyoxylate and dicarboxylate metabolism","Janthinobacterium lividum EIF1",14.39,"map00630","Metabolism; Carbohydrate metabolism"
"Pyruvate metabolism","Janthinobacterium lividum EIF1",13.44,"map00620","Metabolism; Carbohydrate metabolism"
"Porphyrin and chlorophyll metabolism","Janthinobacterium lividum EIF1",11.5,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Cysteine and methionine metabolism","Janthinobacterium lividum EIF1",11.47,"map00270","Metabolism; Amino acid metabolism"
"Purine metabolism","Janthinobacterium lividum EIF1",10.81,"map00230","Metabolism; Nucleotide metabolism"
"Citrate cycle (TCA cycle)","Janthinobacterium lividum EIF1",10.57,"map00020","Metabolism; Carbohydrate metabolism"
"Folate biosynthesis","Janthinobacterium lividum EIF1",10.52,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Carbon fixation pathways in prokaryotes","Janthinobacterium lividum EIF1",10.12,"map00720","Metabolism; Energy metabolism"
"Propanoate metabolism","Janthinobacterium lividum EIF1",9.65,"map00640","Metabolism; Carbohydrate metabolism"
"Lipopolysaccharide biosynthesis","Janthinobacterium lividum EIF1",9.23,"map00540","Metabolism; Glycan biosynthesis and metabolism"
"Glycine; serine and threonine metabolism","Janthinobacterium lividum EIF1",8.89,"map00260","Metabolism; Amino acid metabolism"
"Methane metabolism","Janthinobacterium lividum EIF1",8.89,"map00680","Metabolism; Energy metabolism"
"Glycolysis / Gluconeogenesis","Janthinobacterium lividum EIF1",8.85,"map00010","Metabolism; Carbohydrate metabolism"
"Arginine and proline metabolism","Janthinobacterium lividum EIF1",8.55,"map00330","Metabolism; Amino acid metabolism"
"Amino sugar and nucleotide sugar metabolism","Janthinobacterium lividum EIF1",7.41,"map00520","Metabolism; Carbohydrate metabolism"
"Pentose phosphate pathway","Janthinobacterium lividum EIF1",7.4,"map00030","Metabolism; Carbohydrate metabolism"
"Histidine metabolism","Janthinobacterium lividum EIF1",7.35,"map00340","Metabolism; Amino acid metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Janthinobacterium lividum EIF1",7.3,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Pyrimidine metabolism","Janthinobacterium lividum EIF1",7.21,"map00240","Metabolism; Nucleotide metabolism"
"Phenylalanine metabolism","Janthinobacterium lividum EIF1",6.72,"map00360","Metabolism; Amino acid metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Janthinobacterium lividum EIF1",6.6,"map00400","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine degradation","Janthinobacterium lividum EIF1",5.9,"map00280","Metabolism; Amino acid metabolism"
"Alanine; aspartate and glutamate metabolism","Janthinobacterium lividum EIF1",5.75,"map00250","Metabolism; Amino acid metabolism"
"Glutathione metabolism","Janthinobacterium lividum EIF1",5.72,"map00480","Metabolism; Metabolism of other amino acids"
"One carbon pool by folate","Janthinobacterium lividum EIF1",5.53,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Tryptophan metabolism","Janthinobacterium lividum EIF1",5.52,"map00380","Metabolism; Amino acid metabolism"
"Terpenoid backbone biosynthesis","Janthinobacterium lividum EIF1",5.4,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Arginine biosynthesis","Janthinobacterium lividum EIF1",5.32,"map00220","Metabolism; Amino acid metabolism"
"Drug metabolism - other enzymes","Janthinobacterium lividum EIF1",5.26,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Pantothenate and CoA biosynthesis","Janthinobacterium lividum EIF1",5.12,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"O-Antigen nucleotide sugar biosynthesis","Janthinobacterium lividum EIF1",5.08,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Galactose metabolism","Janthinobacterium lividum EIF1",4.94,"map00052","Metabolism; Carbohydrate metabolism"
"Carbon fixation in photosynthetic organisms","Janthinobacterium lividum EIF1",4.74,"map00710","Metabolism; Energy metabolism"
"Biotin metabolism","Janthinobacterium lividum EIF1",4.63,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Glycerophospholipid metabolism","Janthinobacterium lividum EIF1",4.62,"map00564","Metabolism; Lipid metabolism"
"Starch and sucrose metabolism","Janthinobacterium lividum EIF1",4.52,"map00500","Metabolism; Carbohydrate metabolism"
"Benzoate degradation","Janthinobacterium lividum EIF1",4.42,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Riboflavin metabolism","Janthinobacterium lividum EIF1",4.42,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Oxidative phosphorylation","Janthinobacterium lividum EIF1",4.08,"map00190","Metabolism; Energy metabolism"
"Nicotinate and nicotinamide metabolism","Janthinobacterium lividum EIF1",4.03,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Tyrosine metabolism","Janthinobacterium lividum EIF1",4.01,"map00350","Metabolism; Amino acid metabolism"
"Inositol phosphate metabolism","Janthinobacterium lividum EIF1",3.96,"map00562","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Janthinobacterium lividum EIF1",3.79,"map00650","Metabolism; Carbohydrate metabolism"
"Selenocompound metabolism","Janthinobacterium lividum EIF1",3.62,"map00450","Metabolism; Metabolism of other amino acids"
"Streptomycin biosynthesis","Janthinobacterium lividum EIF1",3.41,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"beta-Alanine metabolism","Janthinobacterium lividum EIF1",3.31,"map00410","Metabolism; Metabolism of other amino acids"
"Sulfur metabolism","Janthinobacterium lividum EIF1",3.28,"map00920","Metabolism; Energy metabolism"
"Fatty acid biosynthesis","Janthinobacterium lividum EIF1",3.27,"map00061","Metabolism; Lipid metabolism"
"Fructose and mannose metabolism","Janthinobacterium lividum EIF1",3.24,"map00051","Metabolism; Carbohydrate metabolism"
"Lysine biosynthesis","Janthinobacterium lividum EIF1",3.11,"map00300","Metabolism; Amino acid metabolism"
"Thiamine metabolism","Janthinobacterium lividum EIF1",3.11,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Valine; leucine and isoleucine biosynthesis","Janthinobacterium lividum EIF1",3.05,"map00290","Metabolism; Amino acid metabolism"
"Peptidoglycan biosynthesis","Janthinobacterium lividum EIF1",2.88,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Taurine and hypotaurine metabolism","Janthinobacterium lividum EIF1",2.81,"map00430","Metabolism; Metabolism of other amino acids"
"Lysine degradation","Janthinobacterium lividum EIF1",2.78,"map00310","Metabolism; Amino acid metabolism"
"Cyanoamino acid metabolism","Janthinobacterium lividum EIF1",2.6,"map00460","Metabolism; Metabolism of other amino acids"
"Geraniol degradation","Janthinobacterium lividum EIF1",2.52,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Fatty acid degradation","Janthinobacterium lividum EIF1",2.5,"map00071","Metabolism; Lipid metabolism"
"Nitrogen metabolism","Janthinobacterium lividum EIF1",2.42,"map00910","Metabolism; Energy metabolism"
"Vitamin B6 metabolism","Janthinobacterium lividum EIF1",2.37,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"D-Amino acid metabolism","Janthinobacterium lividum EIF1",1.93,"map00470","Metabolism; Metabolism of other amino acids"
"Styrene degradation","Janthinobacterium lividum EIF1",1.91,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"Polyketide sugar unit biosynthesis","Janthinobacterium lividum EIF1",1.6,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Fatty acid elongation","Janthinobacterium lividum EIF1",1.57,"map00062","Metabolism; Lipid metabolism"
"alpha-Linolenic acid metabolism","Janthinobacterium lividum EIF1",1.57,"map00592","Metabolism; Lipid metabolism"
"Other glycan degradation","Janthinobacterium lividum EIF1",1.55,"map00511","Metabolism; Glycan biosynthesis and metabolism"
"Glycosaminoglycan degradation","Janthinobacterium lividum EIF1",1.55,"map00531","Metabolism; Glycan biosynthesis and metabolism"
"Glycosphingolipid biosynthesis - ganglio series","Janthinobacterium lividum EIF1",1.55,"map00604","Metabolism; Glycan biosynthesis and metabolism"
"Aminoacyl-tRNA biosynthesis","Janthinobacterium lividum EIF1",1.43,"map00970","Genetic Information Processing; Translation"
"C5-Branched dibasic acid metabolism","Janthinobacterium lividum EIF1",1.19,"map00660","Metabolism; Carbohydrate metabolism"
"Novobiocin biosynthesis","Janthinobacterium lividum EIF1",1.17,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Janthinobacterium lividum EIF1",1.17,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Monobactam biosynthesis","Janthinobacterium lividum EIF1",1.02,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Steroid biosynthesis","Janthinobacterium lividum EIF1",0.97,"map00100","Metabolism; Lipid metabolism"
"Sesquiterpenoid and triterpenoid biosynthesis","Janthinobacterium lividum EIF1",0.97,"map00909","Metabolism; Metabolism of terpenoids and polyketides"
"Metabolism of xenobiotics by cytochrome P450","Janthinobacterium lividum EIF1",0.92,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Janthinobacterium lividum EIF1",0.92,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Pentose and glucuronate interconversions","Janthinobacterium lividum EIF1",0.87,"map00040","Metabolism; Carbohydrate metabolism"
"Isoquinoline alkaloid biosynthesis","Janthinobacterium lividum EIF1",0.87,"map00950","Metabolism; Biosynthesis of other secondary metabolites"
"Various types of N-glycan biosynthesis","Janthinobacterium lividum EIF1",0.85,"map00513","Metabolism; Glycan biosynthesis and metabolism"
"Glycosphingolipid biosynthesis - globo and isoglobo series","Janthinobacterium lividum EIF1",0.85,"map00603","Metabolism; Glycan biosynthesis and metabolism"
"Atrazine degradation","Janthinobacterium lividum EIF1",0.81,"map00791","Metabolism; Xenobiotics biodegradation and metabolism"
"Aminobenzoate degradation","Janthinobacterium lividum EIF1",0.8,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Limonene and pinene degradation","Janthinobacterium lividum EIF1",0.8,"map00903","Metabolism; Metabolism of terpenoids and polyketides"
"Caprolactam degradation","Janthinobacterium lividum EIF1",0.8,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Human immunodeficiency virus 1 infection","Janthinobacterium lividum EIF1",0.79,"map05170","Human Diseases; Infectious disease: viral"
"Ethylbenzene degradation","Janthinobacterium lividum EIF1",0.77,"map00642","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of unsaturated fatty acids","Janthinobacterium lividum EIF1",0.77,"map01040","Metabolism; Lipid metabolism"
"Lipoic acid metabolism","Janthinobacterium lividum EIF1",0.73,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Sphingolipid metabolism","Janthinobacterium lividum EIF1",0.7,"map00600","Metabolism; Lipid metabolism"
"Phenazine biosynthesis","Janthinobacterium lividum EIF1",0.67,"map00405","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of various secondary metabolites - part 3","Janthinobacterium lividum EIF1",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Acarbose and validamycin biosynthesis","Janthinobacterium lividum EIF1",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerolipid metabolism","Janthinobacterium lividum EIF1",0.55,"map00561","Metabolism; Lipid metabolism"
"Aflatoxin biosynthesis","Janthinobacterium lividum EIF1",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Carbapenem biosynthesis","Janthinobacterium lividum EIF1",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Janthinobacterium lividum EIF1",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Neomycin; kanamycin and gentamicin biosynthesis","Janthinobacterium lividum EIF1",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Janthinobacterium lividum EIF1",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Janthinobacterium lividum EIF1",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Zeatin biosynthesis","Janthinobacterium lividum EIF1",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Janthinobacterium lividum EIF1",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Lacticaseibacillus paracasei Lpc-37",71.72,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Lacticaseibacillus paracasei Lpc-37",28.98,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Lacticaseibacillus paracasei Lpc-37",21.92,"map01120","Microbial metabolism in diverse environments"
"Pentose phosphate pathway","Lacticaseibacillus paracasei Lpc-37",7.21,"map00030","Metabolism; Carbohydrate metabolism"
"Purine metabolism","Lacticaseibacillus paracasei Lpc-37",6.18,"map00230","Metabolism; Nucleotide metabolism"
"Galactose metabolism","Lacticaseibacillus paracasei Lpc-37",6.12,"map00052","Metabolism; Carbohydrate metabolism"
"Glycolysis / Gluconeogenesis","Lacticaseibacillus paracasei Lpc-37",4.85,"map00010","Metabolism; Carbohydrate metabolism"
"Pyruvate metabolism","Lacticaseibacillus paracasei Lpc-37",4.84,"map00620","Metabolism; Carbohydrate metabolism"
"Pyrimidine metabolism","Lacticaseibacillus paracasei Lpc-37",4.76,"map00240","Metabolism; Nucleotide metabolism"
"Cysteine and methionine metabolism","Lacticaseibacillus paracasei Lpc-37",4.4,"map00270","Metabolism; Amino acid metabolism"
"Amino sugar and nucleotide sugar metabolism","Lacticaseibacillus paracasei Lpc-37",4.23,"map00520","Metabolism; Carbohydrate metabolism"
"Inositol phosphate metabolism","Lacticaseibacillus paracasei Lpc-37",3.96,"map00562","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Lacticaseibacillus paracasei Lpc-37",3.68,"map00650","Metabolism; Carbohydrate metabolism"
"Starch and sucrose metabolism","Lacticaseibacillus paracasei Lpc-37",3.62,"map00500","Metabolism; Carbohydrate metabolism"
"Carbon fixation pathways in prokaryotes","Lacticaseibacillus paracasei Lpc-37",3.5,"map00720","Metabolism; Energy metabolism"
"Alanine; aspartate and glutamate metabolism","Lacticaseibacillus paracasei Lpc-37",3.09,"map00250","Metabolism; Amino acid metabolism"
"Terpenoid backbone biosynthesis","Lacticaseibacillus paracasei Lpc-37",2.96,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Arginine and proline metabolism","Lacticaseibacillus paracasei Lpc-37",2.93,"map00330","Metabolism; Amino acid metabolism"
"Fructose and mannose metabolism","Lacticaseibacillus paracasei Lpc-37",2.86,"map00051","Metabolism; Carbohydrate metabolism"
"Methane metabolism","Lacticaseibacillus paracasei Lpc-37",2.63,"map00680","Metabolism; Energy metabolism"
"One carbon pool by folate","Lacticaseibacillus paracasei Lpc-37",2.58,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Glycine; serine and threonine metabolism","Lacticaseibacillus paracasei Lpc-37",2.5,"map00260","Metabolism; Amino acid metabolism"
"Pentose and glucuronate interconversions","Lacticaseibacillus paracasei Lpc-37",2.46,"map00040","Metabolism; Carbohydrate metabolism"
"Propanoate metabolism","Lacticaseibacillus paracasei Lpc-37",2.45,"map00640","Metabolism; Carbohydrate metabolism"
"Histidine metabolism","Lacticaseibacillus paracasei Lpc-37",2.4,"map00340","Metabolism; Amino acid metabolism"
"Peptidoglycan biosynthesis","Lacticaseibacillus paracasei Lpc-37",2.26,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Glycerophospholipid metabolism","Lacticaseibacillus paracasei Lpc-37",2.21,"map00564","Metabolism; Lipid metabolism"
"Glutathione metabolism","Lacticaseibacillus paracasei Lpc-37",2.15,"map00480","Metabolism; Metabolism of other amino acids"
"Drug metabolism - other enzymes","Lacticaseibacillus paracasei Lpc-37",2.04,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Porphyrin and chlorophyll metabolism","Lacticaseibacillus paracasei Lpc-37",2.02,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"alpha-Linolenic acid metabolism","Lacticaseibacillus paracasei Lpc-37",2.01,"map00592","Metabolism; Lipid metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Lacticaseibacillus paracasei Lpc-37",1.87,"map00400","Metabolism; Amino acid metabolism"
"Carbon fixation in photosynthetic organisms","Lacticaseibacillus paracasei Lpc-37",1.76,"map00710","Metabolism; Energy metabolism"
"Valine; leucine and isoleucine degradation","Lacticaseibacillus paracasei Lpc-37",1.74,"map00280","Metabolism; Amino acid metabolism"
"O-Antigen nucleotide sugar biosynthesis","Lacticaseibacillus paracasei Lpc-37",1.69,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Lysine biosynthesis","Lacticaseibacillus paracasei Lpc-37",1.6,"map00300","Metabolism; Amino acid metabolism"
"D-Amino acid metabolism","Lacticaseibacillus paracasei Lpc-37",1.54,"map00470","Metabolism; Metabolism of other amino acids"
"Benzoate degradation","Lacticaseibacillus paracasei Lpc-37",1.53,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Oxidative phosphorylation","Lacticaseibacillus paracasei Lpc-37",1.49,"map00190","Metabolism; Energy metabolism"
"Streptomycin biosynthesis","Lacticaseibacillus paracasei Lpc-37",1.3,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Phenylalanine metabolism","Lacticaseibacillus paracasei Lpc-37",1.26,"map00360","Metabolism; Amino acid metabolism"
"Pantothenate and CoA biosynthesis","Lacticaseibacillus paracasei Lpc-37",1.23,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid biosynthesis","Lacticaseibacillus paracasei Lpc-37",1.15,"map00061","Metabolism; Lipid metabolism"
"Tryptophan metabolism","Lacticaseibacillus paracasei Lpc-37",1.04,"map00380","Metabolism; Amino acid metabolism"
"Vitamin B6 metabolism","Lacticaseibacillus paracasei Lpc-37",1.03,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid degradation","Lacticaseibacillus paracasei Lpc-37",1.01,"map00071","Metabolism; Lipid metabolism"
"Ether lipid metabolism","Lacticaseibacillus paracasei Lpc-37",0.99,"map00565","Metabolism; Lipid metabolism"
"Arachidonic acid metabolism","Lacticaseibacillus paracasei Lpc-37",0.99,"map00590","Metabolism; Lipid metabolism"
"Linoleic acid metabolism","Lacticaseibacillus paracasei Lpc-37",0.99,"map00591","Metabolism; Lipid metabolism"
"Other glycan degradation","Lacticaseibacillus paracasei Lpc-37",0.98,"map00511","Metabolism; Glycan biosynthesis and metabolism"
"Steroid hormone biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.97,"map00140","Metabolism; Lipid metabolism"
"Sphingolipid metabolism","Lacticaseibacillus paracasei Lpc-37",0.97,"map00600","Metabolism; Lipid metabolism"
"Sulfur metabolism","Lacticaseibacillus paracasei Lpc-37",0.96,"map00920","Metabolism; Energy metabolism"
"Citrate cycle (TCA cycle)","Lacticaseibacillus paracasei Lpc-37",0.95,"map00020","Metabolism; Carbohydrate metabolism"
"Nicotinate and nicotinamide metabolism","Lacticaseibacillus paracasei Lpc-37",0.9,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Arginine biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.87,"map00220","Metabolism; Amino acid metabolism"
"Biotin metabolism","Lacticaseibacillus paracasei Lpc-37",0.85,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Thiamine metabolism","Lacticaseibacillus paracasei Lpc-37",0.83,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Glyoxylate and dicarboxylate metabolism","Lacticaseibacillus paracasei Lpc-37",0.82,"map00630","Metabolism; Carbohydrate metabolism"
"Taurine and hypotaurine metabolism","Lacticaseibacillus paracasei Lpc-37",0.79,"map00430","Metabolism; Metabolism of other amino acids"
"Fatty acid elongation","Lacticaseibacillus paracasei Lpc-37",0.77,"map00062","Metabolism; Lipid metabolism"
"Geraniol degradation","Lacticaseibacillus paracasei Lpc-37",0.77,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Ethylbenzene degradation","Lacticaseibacillus paracasei Lpc-37",0.77,"map00642","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of unsaturated fatty acids","Lacticaseibacillus paracasei Lpc-37",0.77,"map01040","Metabolism; Lipid metabolism"
"Dioxin degradation","Lacticaseibacillus paracasei Lpc-37",0.76,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Lacticaseibacillus paracasei Lpc-37",0.76,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"Aminoacyl-tRNA biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.73,"map00970","Genetic Information Processing; Translation"
"Aminobenzoate degradation","Lacticaseibacillus paracasei Lpc-37",0.69,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Styrene degradation","Lacticaseibacillus paracasei Lpc-37",0.69,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"C5-Branched dibasic acid metabolism","Lacticaseibacillus paracasei Lpc-37",0.64,"map00660","Metabolism; Carbohydrate metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.63,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Biosynthesis of various secondary metabolites - part 3","Lacticaseibacillus paracasei Lpc-37",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerolipid metabolism","Lacticaseibacillus paracasei Lpc-37",0.55,"map00561","Metabolism; Lipid metabolism"
"Tyrosine metabolism","Lacticaseibacillus paracasei Lpc-37",0.54,"map00350","Metabolism; Amino acid metabolism"
"Aflatoxin biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Lipoic acid metabolism","Lacticaseibacillus paracasei Lpc-37",0.5,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Nitrogen metabolism","Lacticaseibacillus paracasei Lpc-37",0.48,"map00910","Metabolism; Energy metabolism"
"Carbapenem biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Lysine degradation","Lacticaseibacillus paracasei Lpc-37",0.35,"map00310","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.32,"map00290","Metabolism; Amino acid metabolism"
"Selenocompound metabolism","Lacticaseibacillus paracasei Lpc-37",0.31,"map00450","Metabolism; Metabolism of other amino acids"
"Novobiocin biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.3,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Monobactam biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.29,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Riboflavin metabolism","Lacticaseibacillus paracasei Lpc-37",0.27,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Neomycin; kanamycin and gentamicin biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Chloroalkane and chloroalkene degradation","Lacticaseibacillus paracasei Lpc-37",0.25,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
