"Group","bacteria","pathway"
"Group1","Lactobacillus salivarius UCC118","Naphthalene degradation"
"Group1","Lactobacillus salivarius UCC118","Retinol metabolism"
"Group1","Lactobacillus salivarius UCC118","Caprolactam degradation"
"Group1","Lactobacillus salivarius UCC118","Metabolism of xenobiotics by cytochrome P450"
"Group1","Lactobacillus salivarius UCC118","Drug metabolism - cytochrome P450"
"Group1","Lactobacillus salivarius UCC118","Steroid hormone biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Phosphonate and phosphinate metabolism"
"Group1","Lactobacillus salivarius UCC118","Biosynthesis of various secondary metabolites - part 2"
"Group1","Lactobacillus salivarius UCC118","Biosynthesis of siderophore group nonribosomal peptides"
"Group1","Lactobacillus salivarius UCC118","Primary bile acid biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Secondary bile acid biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Phenazine biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Aflatoxin biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Human immunodeficiency virus 1 infection"
"Group1","Lactobacillus salivarius UCC118","Ethylbenzene degradation"
"Group1","Lactobacillus salivarius UCC118","Atrazine degradation"
"Group1","Lactobacillus salivarius UCC118","Biosynthesis of unsaturated fatty acids"
"Group1","Lactobacillus salivarius UCC118","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Lactobacillus salivarius UCC118","Limonene and pinene degradation"
"Group1","Lactobacillus salivarius UCC118","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Lactobacillus salivarius UCC118","Fluorobenzoate degradation"
"Group1","Lactobacillus salivarius UCC118","Polycyclic aromatic hydrocarbon degradation"
"Group1","Lactobacillus salivarius UCC118","Isoquinoline alkaloid biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Flavone and flavonol biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Ether lipid metabolism"
"Group1","Lactobacillus salivarius UCC118","Arachidonic acid metabolism"
"Group1","Lactobacillus salivarius UCC118","Linoleic acid metabolism"
"Group1","Lactobacillus salivarius UCC118","Steroid biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Mannose type O-glycan biosynthesis"
"Group1","Lactobacillus salivarius UCC118","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glycolysis / Gluconeogenesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Citrate cycle (TCA cycle)"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Pentose phosphate pathway"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Pentose and glucuronate interconversions"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Fructose and mannose metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Galactose metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Fatty acid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Oxidative phosphorylation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Photosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Arginine biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Purine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Pyrimidine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Alanine; aspartate and glutamate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glycine; serine and threonine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Monobactam biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Cysteine and methionine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Valine; leucine and isoleucine degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Valine; leucine and isoleucine biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Lysine biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Lysine degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Arginine and proline metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Carbapenem biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Histidine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Tyrosine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Phenylalanine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Tryptophan metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Novobiocin biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","beta-Alanine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Taurine and hypotaurine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Selenocompound metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Cyanoamino acid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","D-Amino acid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glutathione metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Starch and sucrose metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Other glycan degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Amino sugar and nucleotide sugar metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Streptomycin biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Polyketide sugar unit biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Acarbose and validamycin biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glycosaminoglycan degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","O-Antigen nucleotide sugar biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Peptidoglycan biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glycerolipid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Inositol phosphate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glycerophospholipid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Sphingolipid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Pyruvate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Aminobenzoate degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glyoxylate and dicarboxylate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Propanoate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Styrene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Butanoate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","C5-Branched dibasic acid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","One carbon pool by folate"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Methane metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Carbon fixation in photosynthetic organisms"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Carbon fixation pathways in prokaryotes"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Thiamine metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Riboflavin metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Vitamin B6 metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Nicotinate and nicotinamide metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Pantothenate and CoA biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biotin metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Lipoic acid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Folate biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Porphyrin and chlorophyll metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Terpenoid backbone biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Zeatin biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Nitrogen metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Sulfur metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Phenylpropanoid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Tropane; piperidine and pyridine alkaloid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glucosinolate biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Aminoacyl-tRNA biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Drug metabolism - other enzymes"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of various secondary metabolites - part 3"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of ansamycins"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of vancomycin group antibiotics"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Metabolic pathways"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of secondary metabolites"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Microbial metabolism in diverse environments"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Various types of N-glycan biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Lipopolysaccharide biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Glycosphingolipid biosynthesis - globo and isoglobo series"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Ascorbate and aldarate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Fatty acid elongation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Fatty acid degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Geraniol degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Benzoate degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","alpha-Linolenic acid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Dioxin degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Xylene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Toluene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Chloroalkane and chloroalkene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Naphthalene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Retinol metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Caprolactam degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Metabolism of xenobiotics by cytochrome P450"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Drug metabolism - cytochrome P450"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Steroid hormone biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Phosphonate and phosphinate metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of various secondary metabolites - part 2"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of siderophore group nonribosomal peptides"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Primary bile acid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Secondary bile acid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Phenazine biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Aflatoxin biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Human immunodeficiency virus 1 infection"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Ethylbenzene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Atrazine degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of unsaturated fatty acids"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Limonene and pinene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Fluorobenzoate degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Polycyclic aromatic hydrocarbon degradation"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Isoquinoline alkaloid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Flavone and flavonol biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Ether lipid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Arachidonic acid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Linoleic acid metabolism"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Steroid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Mannose type O-glycan biosynthesis"
"Group1","Lactobacillus suebicus DSM 5007 = KCTC 3549","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glycolysis / Gluconeogenesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Citrate cycle (TCA cycle)"
"Group1","Lactococcus lactis subsp. cremoris KW2","Pentose phosphate pathway"
"Group1","Lactococcus lactis subsp. cremoris KW2","Pentose and glucuronate interconversions"
"Group1","Lactococcus lactis subsp. cremoris KW2","Fructose and mannose metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Galactose metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Fatty acid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Oxidative phosphorylation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Photosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Arginine biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Purine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Pyrimidine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Alanine; aspartate and glutamate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glycine; serine and threonine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Monobactam biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Cysteine and methionine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Valine; leucine and isoleucine degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Valine; leucine and isoleucine biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Lysine biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Lysine degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Arginine and proline metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Carbapenem biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Histidine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Tyrosine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Phenylalanine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Tryptophan metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Novobiocin biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","beta-Alanine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Taurine and hypotaurine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Selenocompound metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Cyanoamino acid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","D-Amino acid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glutathione metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Starch and sucrose metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Other glycan degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Amino sugar and nucleotide sugar metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Streptomycin biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Polyketide sugar unit biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Acarbose and validamycin biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glycosaminoglycan degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","O-Antigen nucleotide sugar biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Peptidoglycan biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glycerolipid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Inositol phosphate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glycerophospholipid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Sphingolipid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Lactococcus lactis subsp. cremoris KW2","Pyruvate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Aminobenzoate degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glyoxylate and dicarboxylate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Propanoate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Styrene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Butanoate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","C5-Branched dibasic acid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","One carbon pool by folate"
"Group1","Lactococcus lactis subsp. cremoris KW2","Methane metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Carbon fixation in photosynthetic organisms"
"Group1","Lactococcus lactis subsp. cremoris KW2","Carbon fixation pathways in prokaryotes"
"Group1","Lactococcus lactis subsp. cremoris KW2","Thiamine metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Riboflavin metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Vitamin B6 metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Nicotinate and nicotinamide metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Pantothenate and CoA biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biotin metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Lipoic acid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Folate biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Porphyrin and chlorophyll metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Terpenoid backbone biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Zeatin biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Nitrogen metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Sulfur metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Phenylpropanoid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Tropane; piperidine and pyridine alkaloid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glucosinolate biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Aminoacyl-tRNA biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Drug metabolism - other enzymes"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of various secondary metabolites - part 3"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of ansamycins"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of vancomycin group antibiotics"
"Group1","Lactococcus lactis subsp. cremoris KW2","Metabolic pathways"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of secondary metabolites"
"Group1","Lactococcus lactis subsp. cremoris KW2","Microbial metabolism in diverse environments"
"Group1","Lactococcus lactis subsp. cremoris KW2","Various types of N-glycan biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Lipopolysaccharide biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Glycosphingolipid biosynthesis - globo and isoglobo series"
"Group1","Lactococcus lactis subsp. cremoris KW2","Ascorbate and aldarate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Fatty acid elongation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Fatty acid degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Geraniol degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Benzoate degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","alpha-Linolenic acid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Dioxin degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Xylene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Toluene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Chloroalkane and chloroalkene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Naphthalene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Retinol metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Caprolactam degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Metabolism of xenobiotics by cytochrome P450"
"Group1","Lactococcus lactis subsp. cremoris KW2","Drug metabolism - cytochrome P450"
"Group1","Lactococcus lactis subsp. cremoris KW2","Steroid hormone biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Phosphonate and phosphinate metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of various secondary metabolites - part 2"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of siderophore group nonribosomal peptides"
"Group1","Lactococcus lactis subsp. cremoris KW2","Primary bile acid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Secondary bile acid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Phenazine biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Aflatoxin biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Human immunodeficiency virus 1 infection"
"Group1","Lactococcus lactis subsp. cremoris KW2","Ethylbenzene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Atrazine degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of unsaturated fatty acids"
"Group1","Lactococcus lactis subsp. cremoris KW2","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Lactococcus lactis subsp. cremoris KW2","Limonene and pinene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Fluorobenzoate degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Polycyclic aromatic hydrocarbon degradation"
"Group1","Lactococcus lactis subsp. cremoris KW2","Isoquinoline alkaloid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Flavone and flavonol biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Ether lipid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Arachidonic acid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Linoleic acid metabolism"
"Group1","Lactococcus lactis subsp. cremoris KW2","Steroid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Mannose type O-glycan biosynthesis"
"Group1","Lactococcus lactis subsp. cremoris KW2","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Latilactobacillus sakei CBA3614","Glycolysis / Gluconeogenesis"
"Group1","Latilactobacillus sakei CBA3614","Citrate cycle (TCA cycle)"
"Group1","Latilactobacillus sakei CBA3614","Pentose phosphate pathway"
"Group1","Latilactobacillus sakei CBA3614","Pentose and glucuronate interconversions"
"Group1","Latilactobacillus sakei CBA3614","Fructose and mannose metabolism"
"Group1","Latilactobacillus sakei CBA3614","Galactose metabolism"
"Group1","Latilactobacillus sakei CBA3614","Fatty acid biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Oxidative phosphorylation"
"Group1","Latilactobacillus sakei CBA3614","Photosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Arginine biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Purine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Pyrimidine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Alanine; aspartate and glutamate metabolism"
"Group1","Latilactobacillus sakei CBA3614","Glycine; serine and threonine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Monobactam biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Cysteine and methionine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Valine; leucine and isoleucine degradation"
"Group1","Latilactobacillus sakei CBA3614","Valine; leucine and isoleucine biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Lysine biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Lysine degradation"
"Group1","Latilactobacillus sakei CBA3614","Arginine and proline metabolism"
"Group1","Latilactobacillus sakei CBA3614","Carbapenem biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Histidine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Tyrosine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Phenylalanine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Tryptophan metabolism"
"Group1","Latilactobacillus sakei CBA3614","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","Novobiocin biosynthesis"
"Group1","Latilactobacillus sakei CBA3614","beta-Alanine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Taurine and hypotaurine metabolism"
"Group1","Latilactobacillus sakei CBA3614","Selenocompound metabolism"
"Group1","Latilactobacillus sakei CBA3614","Cyanoamino acid metabolism"
"Group1","Latilactobacillus sakei CBA3614","D-Amino acid metabolism"
"Group1","Latilactobacillus sakei CBA3614","Glutathione metabolism"
"Group1","Latilactobacillus sakei CBA3614","Starch and sucrose metabolism"
