"Group","bacteria","pathway","genus"
"Group1","Lentilactobacillus kefiri DH5","Photosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Arginine biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Purine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Pyrimidine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Alanine; aspartate and glutamate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Glycine; serine and threonine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Cysteine and methionine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Valine; leucine and isoleucine degradation","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Lysine biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Tyrosine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Taurine and hypotaurine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Selenocompound metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","D-Amino acid metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Glutathione metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Starch and sucrose metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Amino sugar and nucleotide sugar metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","O-Antigen nucleotide sugar biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Peptidoglycan biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Glycerophospholipid metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Pyruvate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Propanoate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Butanoate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","One carbon pool by folate","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Methane metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Carbon fixation in photosynthetic organisms","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Carbon fixation pathways in prokaryotes","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Thiamine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Riboflavin metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Nicotinate and nicotinamide metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Pantothenate and CoA biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Porphyrin and chlorophyll metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Terpenoid backbone biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Nitrogen metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Aminoacyl-tRNA biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus kefiri DH5","Drug metabolism - other enzymes","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Glycolysis / Gluconeogenesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Citrate cycle (TCA cycle)","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Pentose phosphate pathway","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Pentose and glucuronate interconversions","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Fructose and mannose metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Galactose metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Oxidative phosphorylation","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Photosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Arginine biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Purine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Pyrimidine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Alanine; aspartate and glutamate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Glycine; serine and threonine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Cysteine and methionine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Valine; leucine and isoleucine degradation","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Lysine biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Tyrosine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Taurine and hypotaurine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Selenocompound metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","D-Amino acid metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Glutathione metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Starch and sucrose metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Amino sugar and nucleotide sugar metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","O-Antigen nucleotide sugar biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Peptidoglycan biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Glycerophospholipid metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Pyruvate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Propanoate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Butanoate metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","One carbon pool by folate","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Methane metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Carbon fixation in photosynthetic organisms","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Carbon fixation pathways in prokaryotes","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Thiamine metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Riboflavin metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Nicotinate and nicotinamide metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Pantothenate and CoA biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Porphyrin and chlorophyll metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Terpenoid backbone biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Nitrogen metabolism","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Aminoacyl-tRNA biosynthesis","Lentilactobacillus"
"Group1","Lentilactobacillus parakefiri KR","Drug metabolism - other enzymes","Lentilactobacillus"
"Group1","Leuconostoc lactis CCK940","Glycolysis / Gluconeogenesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Citrate cycle (TCA cycle)","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Pentose phosphate pathway","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Pentose and glucuronate interconversions","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Fructose and mannose metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Galactose metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Oxidative phosphorylation","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Photosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Arginine biosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Purine metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Pyrimidine metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Alanine; aspartate and glutamate metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Glycine; serine and threonine metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Cysteine and methionine metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Valine; leucine and isoleucine degradation","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Lysine biosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Tyrosine metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Taurine and hypotaurine metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Selenocompound metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","D-Amino acid metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Glutathione metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Starch and sucrose metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Amino sugar and nucleotide sugar metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","O-Antigen nucleotide sugar biosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Peptidoglycan biosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Glycerophospholipid metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Pyruvate metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Propanoate metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Butanoate metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","One carbon pool by folate","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Methane metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Carbon fixation in photosynthetic organisms","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Carbon fixation pathways in prokaryotes","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Thiamine metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Riboflavin metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Nicotinate and nicotinamide metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Pantothenate and CoA biosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Porphyrin and chlorophyll metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Terpenoid backbone biosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Nitrogen metabolism","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Aminoacyl-tRNA biosynthesis","Leuconostoc"
"Group1","Leuconostoc lactis CCK940","Drug metabolism - other enzymes","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Glycolysis / Gluconeogenesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Citrate cycle (TCA cycle)","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Pentose phosphate pathway","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Pentose and glucuronate interconversions","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Fructose and mannose metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Galactose metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Oxidative phosphorylation","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Photosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Arginine biosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Purine metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Pyrimidine metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Alanine; aspartate and glutamate metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Glycine; serine and threonine metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Cysteine and methionine metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Valine; leucine and isoleucine degradation","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Lysine biosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Tyrosine metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Taurine and hypotaurine metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Selenocompound metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","D-Amino acid metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Glutathione metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Starch and sucrose metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Amino sugar and nucleotide sugar metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","O-Antigen nucleotide sugar biosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Peptidoglycan biosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Glycerophospholipid metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Pyruvate metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Propanoate metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Butanoate metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","One carbon pool by folate","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Methane metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Carbon fixation in photosynthetic organisms","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Carbon fixation pathways in prokaryotes","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Thiamine metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Riboflavin metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Nicotinate and nicotinamide metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Pantothenate and CoA biosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Porphyrin and chlorophyll metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Terpenoid backbone biosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Nitrogen metabolism","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Aminoacyl-tRNA biosynthesis","Leuconostoc"
"Group1","Leuconostoc mesenteroides SRCM102733","Drug metabolism - other enzymes","Leuconostoc"
"Group1","Levilactobacillus brevis NCTC13768","Glycolysis / Gluconeogenesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Citrate cycle (TCA cycle)","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Pentose phosphate pathway","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Pentose and glucuronate interconversions","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Fructose and mannose metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Galactose metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Oxidative phosphorylation","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Photosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Arginine biosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Purine metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Pyrimidine metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Alanine; aspartate and glutamate metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Glycine; serine and threonine metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Cysteine and methionine metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Valine; leucine and isoleucine degradation","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Lysine biosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Tyrosine metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Taurine and hypotaurine metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Selenocompound metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","D-Amino acid metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Glutathione metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Starch and sucrose metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Amino sugar and nucleotide sugar metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","O-Antigen nucleotide sugar biosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Peptidoglycan biosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Glycerophospholipid metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Pyruvate metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Propanoate metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Butanoate metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","One carbon pool by folate","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Methane metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Carbon fixation in photosynthetic organisms","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Carbon fixation pathways in prokaryotes","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Thiamine metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Riboflavin metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Nicotinate and nicotinamide metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Pantothenate and CoA biosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Porphyrin and chlorophyll metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Terpenoid backbone biosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Nitrogen metabolism","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Aminoacyl-tRNA biosynthesis","Levilactobacillus"
"Group1","Levilactobacillus brevis NCTC13768","Drug metabolism - other enzymes","Levilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Glycolysis / Gluconeogenesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Citrate cycle (TCA cycle)","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Pentose phosphate pathway","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Pentose and glucuronate interconversions","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Fructose and mannose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Galactose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Oxidative phosphorylation","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Photosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Arginine biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Purine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Pyrimidine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Alanine; aspartate and glutamate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Glycine; serine and threonine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Cysteine and methionine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Valine; leucine and isoleucine degradation","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Lysine biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Tyrosine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Taurine and hypotaurine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Selenocompound metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","D-Amino acid metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Glutathione metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Starch and sucrose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Amino sugar and nucleotide sugar metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","O-Antigen nucleotide sugar biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Peptidoglycan biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Glycerophospholipid metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Pyruvate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Propanoate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Butanoate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","One carbon pool by folate","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Methane metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Carbon fixation in photosynthetic organisms","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Carbon fixation pathways in prokaryotes","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Thiamine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Riboflavin metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Nicotinate and nicotinamide metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Pantothenate and CoA biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Porphyrin and chlorophyll metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Terpenoid backbone biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Nitrogen metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Aminoacyl-tRNA biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus fermentum NBRC 3959","Drug metabolism - other enzymes","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Glycolysis / Gluconeogenesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Citrate cycle (TCA cycle)","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Pentose phosphate pathway","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Pentose and glucuronate interconversions","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Fructose and mannose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Galactose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Oxidative phosphorylation","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Photosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Arginine biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Purine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Pyrimidine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Alanine; aspartate and glutamate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Glycine; serine and threonine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Cysteine and methionine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Valine; leucine and isoleucine degradation","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Lysine biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Tyrosine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Taurine and hypotaurine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Selenocompound metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","D-Amino acid metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Glutathione metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Starch and sucrose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Amino sugar and nucleotide sugar metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","O-Antigen nucleotide sugar biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Peptidoglycan biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Glycerophospholipid metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Pyruvate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Propanoate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Butanoate metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","One carbon pool by folate","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Methane metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Carbon fixation in photosynthetic organisms","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Carbon fixation pathways in prokaryotes","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Thiamine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Riboflavin metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Nicotinate and nicotinamide metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Pantothenate and CoA biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Porphyrin and chlorophyll metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Terpenoid backbone biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Nitrogen metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Aminoacyl-tRNA biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus mucosae LM011","Drug metabolism - other enzymes","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Glycolysis / Gluconeogenesis","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Citrate cycle (TCA cycle)","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Pentose phosphate pathway","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Pentose and glucuronate interconversions","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Fructose and mannose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Galactose metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Oxidative phosphorylation","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Photosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Arginine biosynthesis","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Purine metabolism","Limosilactobacillus"
"Group1","Limosilactobacillus reuteri JCM 1081","Pyrimidine metabolism","Limosilactobacillus"
